id,status,age,activities num,language num,scholarship,secondary_education num,tertiary_education num,honour,major_of_tertiary_education,qualification_of_tertiary_education,study_mode_of_tertiary_education,university_of_tertiary_education,study time,working_exp num,working_exp total duration_months,
25659,invited,21,1,3,0,1,1,Second Upper,Economics,Bachelor,Full Time,The Hong Kong University of Science and Technology,45,4,18,
25660,invited,24,4,5,0,1,3,Second Upper,International Business,Master,Full Time,Fudan University,8,4,9,
25662,rejected,26,8,3,0,4,2,Second Lower,Others,Bachelor,Full Time,The Chinese University of Hong Kong,32,9,124,
25663,invited,21,6,3,0,1,1,Second Upper,Others,Bachelor,Full Time,The Hong Kong University of Science and Technology,44,4,7,
25664,invited,21,7,3,0,1,1,First,Business Administration,Bachelor,Full Time,City University of Hong Kong,46,4,35,
25666,invited,22,3,3,0,1,1,Second Upper,Management,Bachelor,Full Time,The University of Manchester,34,3,6,
25667,invited,21,3,3,1,1,1,Second Upper,Others,Bachelor,Full Time,The Hong Kong Polytechnic University,46,3,17,
25669,invited,23,6,5,0,2,2,Second Upper,Marketing,Bachelor,Full Time,The Hong Kong University of Science and Technology,44,6,15,
25672,rejected,21,1,3,0,1,1,Second Upper,Management,Bachelor,Full Time,Others,45,2,4,
25673,rejected,22,2,3,0,1,1,Second Upper,Business Administration,Bachelor,Full Time,University of Surrey,33,1,2,
25674,invited,24,3,3,4,1,1,Second Upper,Others,Bachelor,Full Time,The University of Hong Kong,39,2,27,
25675,rejected,20,0,2,1,1,1,Second Upper,Human Resources Management,Bachelor,Full Time,Others,32,3,68,
25678,rejected,22,3,3,9,1,1,First,Others,Bachelor,Full Time,The Chinese University of Hong Kong,51,3,10,
25681,invited,22,2,3,0,1,1,Second Upper,Sociology,Bachelor,Full Time,The University of Manchester,33,3,6,
25683,invited,24,8,5,2,2,2,First,Economics,Bachelor,Full Time,The Chinese University of Hong Kong,52,4,5,
25686,invited,23,1,3,0,0,1,Second Upper,Biology,Bachelor,Full Time,The University of Hong Kong,37,1,7,
25687,invited,22,1,3,0,1,1,Second Upper,Industrial Engineering,Bachelor,Full Time,The Hong Kong University of Science and Technology,53,5,18,
25688,rejected,22,2,3,0,1,1,Second Upper,Others,Bachelor,Full Time,The Chinese University of Hong Kong,56,4,17,
25689,invited,22,4,3,3,0,2,First,Industrial Engineering,Bachelor,Full Time,The Chinese University of Hong Kong,46,4,13,
25690,rejected,22,0,4,0,1,1,Second Upper,Others,Bachelor,Full Time,Others,47,5,13,
25691,rejected,21,1,4,1,1,2,Second Upper,Management,Bachelor,Full Time,Others,45,3,15,
25692,invited,23,5,3,0,1,1,Second Upper,Mechanical Engineering,Bachelor,Full Time,The University of Hong Kong,45,4,24,
25695,invited,21,3,3,3,1,1,Second Upper,Marketing,Bachelor,Full Time,The University of Hong Kong,45,3,5,
25696,invited,22,1,3,0,1,2,Second Upper,Laws,Bachelor,Full Time,Cardiff University,34,7,23,
25697,rejected,23,4,3,1,1,1,Second Lower,Political Science,Bachelor,Full Time,The University of Hong Kong,51,7,18,
25698,invited,22,2,3,0,1,1,Second Upper,Business Analysis,Bachelor,Full Time,City University of Hong Kong,47,3,8,
25700,invited,21,3,3,1,1,1,Second Upper,Business Information Systems,Bachelor,Full Time,The Hong Kong University of Science and Technology,44,5,17,
25702,invited,21,3,3,2,1,1,Second Upper,Marketing,Bachelor,Full Time,The University of Hong Kong,45,3,9,
25703,invited,22,2,3,1,1,1,First,Others,Bachelor,Full Time,The Hong Kong University of Science and Technology,57,3,16,
25704,invited,22,1,3,0,0,1,Second Upper,Business Administration,Bachelor,Full Time,The Hong Kong University of Science and Technology,45,2,6,
25707,invited,25,4,3,0,1,1,Second Upper,Others,Master,Full Time,University of Oxford,59,5,17,
25708,invited,22,4,3,0,2,1,Second Upper,Economics,Bachelor,Full Time,University of Bristol,46,3,5,
25710,invited,22,1,3,1,1,1,Second Upper,Others,Bachelor,Full Time,The University of Manchester,34,11,118,
25713,rejected,22,2,4,0,1,1,Second Lower,Marketing,Bachelor,Full Time,The Hong Kong University of Science and Technology,46,3,12,
